id,Team.Name,City,Country,lon,lat,
144,Hamburg,Hamburg,GERMANY,9.9936819,53.5510846,
145,NTNU_Trondheim,Trondheim,NORWAY,10.3950528,63.4305149,
146,SDU-Denmark,Odense M,DENMARK,10.4033399,55.3790617,
147,UiOslo_Norway,Oslo,NORWAY,10.7522454,59.9138688,
148,Franconia,Erlangen,GERMANY,11.0119611,49.5896744,
149,UNIFI,Sesto Fiorentino,ITALY,11.2183781,43.8374367,
150,Munich,Garching,GERMANY,11.6532477,48.2488721,
151,Chalmers-Gothenburg,Gothenburg,SWEDEN,11.97456,57.70887,
152,DTU-Denmark,Kgs. Lyngby,DENMARK,12.4949429,55.763516,
153,UCopenhagen,Frederiksberg,DENMARK,12.513321,55.677069,
154,Potsdam,Potsdam-Golm,GERMANY,12.9573975,52.4038381,
155,Lund,Lund,SWEDEN,13.1910073,55.7046601,
156,Berlin_diagnostX,Berlin,GERMANY,13.404954,52.5200066,
157,TU_Dresden,Dresden,GERMANY,13.7372621,51.0504088,
158,NAWI_Graz,Graz,AUSTRIA,15.439504,47.070714,
159,Linkoping_Sweden,Linkˆping,SWEDEN,15.6213728,58.410807,
160,BOKU-Vienna,Vienna,AUSTRIA,16.3738189,48.2081743,
161,Uppsala,Uppsala,SWEDEN,17.6389267,59.8585638,
162,Stockholm,Stockholm,SWEDEN,18.0685808,59.3293235,
163,Szeged_SA_RMG,Szeged,HUNGARY,20.1414253,46.2530102,
164,Greece,Thessaloniki,GREECE,22.9444191,40.6400629,
165,Bulgaria,Sofia,BULGARIA,23.3218675,42.6977082,
166,UGA-Georgia,Athens,UNITED STATES,23.7275388,37.9838096,
167,Aalto-Helsinki,Espoo,FINLAND,24.6559,60.2054911,
168,Vilnius-Lithuania,Vilnius,LITHUANIA,25.2796514,54.6871555,
169,Tartu_TUIT,Tartu,ESTONIA,26.7290062,58.3776252,
111,AshesiGhana,Accra,GHANA,-0.1869644,5.6037168,
170,AFCM-Egypt,"Cairo, Egypt",EGYPT,31.2357116,30.0444196,
171,Bilkent-UNAMBG,Ankara,TURKEY,32.8597419,39.9333635,
172,TECHNION-ISRAEL,Haifa,ISRAEL,34.989571,32.7940463,
173,Tel-Hai,Kiryat-Shemona,ISRAEL,35.570246,33.207933,
174,Moscow_RF,Moscow,RUSSIAN FEDERATION,37.6172999,55.755826,
175,CMUQ,Doha,QATAR,51.5310398,25.2854473,
176,NYU_Abu_Dhabi,Abu Dhabi,UNITED ARAB EMIRATES,54.3773438,24.453884,
177,NU_Kazakhstan,Astana,KAZAKHSTAN,71.4703558,51.1605227,
178,Peshawar,Peshawar,PAKISTAN,71.5804899,34.0149748,
179,ICT-Mumbai,Mumbai,INDIA,72.8776559,19.0759837,
180,IISER-Pune-India,Pune,INDIA,73.8567437,18.5204303,
181,IISER-Mohali-INDIA,Sahibzada Ajit Singh Nagar,INDIA,76.7178726,30.7046486,
182,IIT_Delhi,New Delhi,INDIA,77.2090212,28.6139391,
183,IISc-Bangalore,Bangalore,INDIA,77.5945627,12.9715987,
184,DEIAGRA,Agra,INDIA,78.0080745,27.1766701,
185,SVCE_CHENNAI,Sriperumbudur,INDIA,79.9465841,12.9666662,
186,IIT-Madras,Chennai,INDIA,80.2707184,13.0826802,
187,REC-CHENNAI,Chennai,INDIA,80.2707184,13.0826802,
188,NIPER-Guwahati,GUWAHATI,INDIA,91.7362365,26.1445169,
189,NTU_SINGAPORE,SINGAPORE,SINGAPORE,103.819836,1.352083,
190,NUS_Singapore,Singapore ,SINGAPORE,103.819836,1.352083,
191,Lanzhou,Lanzhou city,CHINA,103.834303,36.061089,
192,SCU_China,Chengdu,CHINA,104.066801,30.572815,
193,SCU-WestChina,Chengdu,CHINA,104.066801,30.572815,
194,UESTC-China,Chengdu,CHINA,104.066801,30.572815,
195,SiCAU-China,China,CHINA,104.195397,35.86166,
196,TMMU-China,Shapingba District,CHINA,106.456877,29.541144,
197,ITB_Indonesia,Bandung,INDONESIA,107.6191228,-6.9174639,
198,NPU-China,Xi'an,CHINA,108.93977,34.341574,
199,NWU-CHINA,Xi'an,CHINA,108.93977,34.341574,
200,NUDT_CHINA,Changsha,CHINA,112.938814,28.228209,
201,GZHS-United,Guangzhou,CHINA,113.264385,23.12911,
202,SCUT-China_A,Guangzhou,CHINA,113.264385,23.12911,
203,SCUT-FSE-CHINA,Guangzhou,CHINA,113.264385,23.12911,
204,SYSU-CHINA,Guangzhou,CHINA,113.264385,23.12911,
205,SYSU-Software,GuangZhou,CHINA,113.264385,23.12911,
206,BGIC-Union,Shenzhen,CHINA,114.057865,22.543096,
207,Shenzhen_SFLS,Shenzhen,CHINA,114.057865,22.543096,
208,SIAT-SCIE,Shenzhen,CHINA,114.057865,22.543096,
209,SMS_Shenzhen,Shenzhen,CHINA,114.057865,22.543096,
210,SSTi-SZGD,Shenzhen,CHINA,114.057865,22.543096,
211,SUSTech_Shenzhen,Shenzhen,CHINA,114.057865,22.543096,
212,SZU-China,ShenZhen,CHINA,114.057865,22.543096,
213,HK_SKHLPSS,Hong Kong,HONG KONG,114.109497,22.396428,
214,Hong_Kong_UCCKE,Hong Kong,HONG KONG,114.109497,22.396428,
215,Hong_Kong_HKU,Pokfulam,HONG KONG,114.1290719,22.2679201,
216,Hong_Kong_HKUST,Kowloon,HONG KONG,114.1796057,22.3185673,
217,Hong_Kong-CUHK,Shatin,HONG KONG,114.1974398,22.3771304,
218,HBUT-China,Wuhan,CHINA,114.305539,30.592849,
219,HUST-China,Wuhan,CHINA,114.305539,30.592849,
220,HZAU-China,Wuhan,CHINA,114.305539,30.592849,
221,WHU-China,WuHan,CHINA,114.305539,30.592849,
222,SHSBNU_China,"Haidian District,Beijing",CHINA,116.298326,39.959953,
223,Tsinghua,"Haidian District, Beijing",CHINA,116.298326,39.959953,
224,BIT,Beijing,CHINA,116.4073963,39.9041999,
225,BIT-China,Beijing,CHINA,116.4073963,39.9041999,
226,BNDS_China,Beijing,CHINA,116.4073963,39.9041999,
227,BNU-China,Beijing,CHINA,116.4073963,39.9041999,
228,CIEI-BJ,Beijing,CHINA,116.4073963,39.9041999,
229,CIEI-China,Beijing,CHINA,116.4073963,39.9041999,
230,Peking,Beijing,CHINA,116.4073963,39.9041999,
231,RDFZ-China,Beijing,CHINA,116.4073963,39.9041999,
232,SDSZ-China,Beijing,CHINA,116.4073963,39.9041999,
233,Tsinghua-A,Beijing,CHINA,116.4073963,39.9041999,
234,UCAS,Beijing,CHINA,116.4073963,39.9041999,
235,UST_Beijing,Beijing,CHINA,116.4073963,39.9041999,
236,JNFLS,Jinan,CHINA,117.120095,36.6512,
237,SDU_CHINA,Jinan,CHINA,117.120095,36.6512,
238,HFUT-China,Hefei,CHINA,117.227219,31.820591,
239,USTC,HEFEI,CHINA,117.227219,31.820591,
240,USTC-Software,HEFEI,CHINA,117.227219,31.820591,
241,NKU_China,Tianjin,CHINA,117.3616476,39.3433574,
242,Tianjin,Tianjin,CHINA,117.3616476,39.3433574,
243,TJU_China,Tianjin,CHINA,117.3616476,39.3433574,
244,TUST_China,Tianjin,CHINA,117.3616476,39.3433574,
245,XMU-China,Xiamen,CHINA,118.089425,24.479833,
246,AHUT_China,Ma'anshan,UNITED STATES,118.507011,31.67044,
247,CPU_CHINA,Nanjing,CHINA,118.796877,32.060255,
248,Nanjing_NFLS,Nanjing,CHINA,118.796877,32.060255,
249,Nanjing-China,Nanjing,CHINA,118.796877,32.060255,
250,NAU-CHINA,Nanjing ,CHINA,118.796877,32.060255,
251,NJU-China,Nanjing,CHINA,118.796877,32.060255,
252,FAFU-CHINA,Fuzhou,CHINA,119.296482,26.074478,
253,ASTWS-China,Hangzhou,CHINA,120.15507,30.274084,
254,HFLS_H2Z_Hangzhou,HangZhou,CHINA,120.15507,30.274084,
255,Worldshaper-Nanjing,Hangzhou,CHINA,120.15507,30.274084,
256,Worldshaper-Wuhan,Hangzhou,CHINA,120.15507,30.274084,
257,Worldshaper-XSHS,Hangzhou,CHINA,120.15507,30.274084,
258,ZJU-China,Hangzhou,CHINA,120.15507,30.274084,
259,ZJUT-China,Hangzhou,CHINA,120.15507,30.274084,
260,NCKU_Tainan,Tainan,TAIWAN,120.2270277,22.9997281,
261,OUC-China,Qingdao,CHINA,120.382609,36.067108,
262,CCU_Taiwan,"Min-Hsiung, Chia-Yi",TAIWAN,120.4233654,23.5436443,
263,XJTLU-CHINA,SUZHOU,CHINA,120.585289,31.298974,
264,CSMU_NCHU_Taiwan,Taichung City,TAIWAN,120.6736482,24.1477358,
265,Mingdao,Taichung City,TAIWAN,120.6736482,24.1477358,
266,NCTU_Formosa,Hsinchu,TAIWAN,120.9674798,24.8138287,
267,NTHU_Taiwan,Hsinchu,TAIWAN,120.9674798,24.8138287,
268,TCFSH_Taiwan,Hsinchu,TAIWAN,120.9674798,24.8138287,
269,CGU_Taiwan,"Kweishan, Taoyuan",TAIWAN,121.237221,25.069656,
270,ECUST,Shanghai,CHINA,121.4737021,31.2303904,
271,Fudan,Shanghai,CHINA,121.4737021,31.2303904,
272,Fudan_China,Shanghai,CHINA,121.4737021,31.2303904,
273,Shanghaitech,Shanghai,CHINA,121.4737021,31.2303904,
274,SJTU-BioX-Shanghai,Shanghai,CHINA,121.4737021,31.2303904,
275,SJTU-Software,Shanghai,CHINA,121.4737021,31.2303904,
276,SUIS_Alpha_Shanghai,Shanghai,CHINA,121.4737021,31.2303904,
277,Tongji_China,Shanghai,CHINA,121.4737021,31.2303904,
278,NYU_Shanghai,Pudong New Area,CHINA,121.544379,31.221517,
279,NYMU-Taipei,Taipei,TAIWAN,121.5654177,25.0329694,
280,TAS_Taipei,Taipei,TAIWAN,121.5654177,25.0329694,
281,NEU-China,Shenyang,CHINA,123.431472,41.805699,
282,Jilin_China,Changchun,CHINA,125.323544,43.817071,
283,NEFU_China,Harbin,CHINA,126.534967,45.803775,
284,KUAS_Korea,Seoul,"KOREA, REPUBLIC OF",126.9779692,37.566535,
285,TNCR_Korea,Jeonju,"KOREA, REPUBLIC OF",127.1479532,35.8242238,
80,Nagahama,Nagahama,JAPAN,136.2658520,35.387347,
286,Kobe,Kobe,JAPAN,135.1955112,34.690083,
287,Kyoto,Kyoto,JAPAN,135.7680294,35.0116363,
288,Gifu,Gifu,JAPAN,136.7606537,35.4232984,
289,KAIT_JAPAN,Asugi,JAPAN,139.343138,35.486426,
290,TokyoTech,Yokohama-shi,JAPAN,139.6380256,35.4437078,
291,ASIJ_TOKYO,Tokyo,JAPAN,139.6917064,35.6894875,
292,Botchan_Lab_Tokyo,noda-shi,JAPAN,139.8747636,35.9551921,
293,HokkaidoU_Japan,Sapporo,JAPAN,141.3543763,43.0620958,
294,Macquarie_Australia,Macquarie University,AUSTRALIA,151.1126498,-33.7738237,
295,SECA_NZ,Auckland City,NEW ZEALAND,174.7633315,-36.8484597,
